metric,role,direction,evaluation_interval
frequency_deviation_rmse_hz,PRIMARY,LOWER_IS_BETTER,POST_DISTURBANCE_7P5S
peak_abs_frequency_deviation_hz,SECONDARY,LOWER_IS_BETTER,POST_DISTURBANCE_7P5S
final_abs_frequency_error_hz,SECONDARY,LOWER_IS_BETTER,END_OF_HORIZON
max_abs_rocof_hz_per_s,SECONDARY,LOWER_IS_BETTER,POST_DISTURBANCE_7P5S
settling_time_s,SECONDARY,LOWER_IS_BETTER,POST_DISTURBANCE_7P5S
avoidable_saturation_fraction,SECONDARY,LOWER_IS_BETTER,POST_DISTURBANCE_7P5S
dump_duty_total_variation,SECONDARY,LOWER_IS_BETTER,POST_DISTURBANCE_7P5S
gain_clip_fraction,SCHEDULER_DIAGNOSTIC,DESCRIPTIVE,ADAPTIVE_UPDATE_TIMES
gain_rate_limit_fraction,SCHEDULER_DIAGNOSTIC,DESCRIPTIVE,ADAPTIVE_UPDATE_TIMES
fallback_fraction,SCHEDULER_DIAGNOSTIC,DESCRIPTIVE,ADAPTIVE_UPDATE_TIMES
