run_id,scenario_id,family_key,evaluation_role,controller,primary_claim,stress_only,diagnostic_only
CLR01,CL01,D40_L-20,PRIMARY_INDEPENDENT,FIXED_PI,True,False,False
CLR02,CL01,D40_L-20,PRIMARY_INDEPENDENT,LSTM_PI,True,False,False
CLR03,CL01,D40_L-20,PRIMARY_INDEPENDENT,QLSTM_PI,True,False,False
CLR04,CL02,D20_L+10,PRIMARY_INDEPENDENT,FIXED_PI,True,False,False
CLR05,CL02,D20_L+10,PRIMARY_INDEPENDENT,LSTM_PI,True,False,False
CLR06,CL02,D20_L+10,PRIMARY_INDEPENDENT,QLSTM_PI,True,False,False
CLR07,CL03,D20_L+20,BOUNDARY_STRESS,FIXED_PI,False,True,False
CLR08,CL03,D20_L+20,BOUNDARY_STRESS,LSTM_PI,False,True,False
CLR09,CL03,D20_L+20,BOUNDARY_STRESS,QLSTM_PI,False,True,False
CLR10,CL04,D30_L+20,IN_DISTRIBUTION_DIAGNOSTIC,FIXED_PI,False,False,True
CLR11,CL04,D30_L+20,IN_DISTRIBUTION_DIAGNOSTIC,LSTM_PI,False,False,True
CLR12,CL04,D30_L+20,IN_DISTRIBUTION_DIAGNOSTIC,QLSTM_PI,False,False,True
