family_key,mechanical_power_pu,mechanical_power_kw,initial_dump_power_kw,load_step_kw,initial_consumer_power_kw,final_consumer_power_kw,final_dump_power_kw,required_final_duty,nonboundary,power_balance_feasible
D25_L+20,0.8,80.0,25.0,20.0,55.0,75.0,5.0,0.05,True,True
D25_L+20,0.85,85.0,25.0,20.0,60.0,80.0,5.0,0.05,True,True
D25_L+20,0.9,90.0,25.0,20.0,65.0,85.0,5.0,0.05,True,True
D25_L+20,0.95,95.0,25.0,20.0,70.0,90.0,5.0,0.05,True,True
D25_L+20,1.0,100.0,25.0,20.0,75.0,95.0,5.0,0.05,True,True
D35_L+20,0.8,80.0,35.0,20.0,45.0,65.0,15.0,0.15,True,True
D35_L+20,0.85,85.0,35.0,20.0,50.0,70.0,15.0,0.15,True,True
D35_L+20,0.9,90.0,35.0,20.0,55.0,75.0,15.0,0.15,True,True
D35_L+20,0.95,95.0,35.0,20.0,60.0,80.0,15.0,0.15,True,True
D35_L+20,1.0,100.0,35.0,20.0,65.0,85.0,15.0,0.15,True,True
