family_key,rank,kp,r_rob,ki,score_dt005,score_dt0025,numerical_score_residual
D25_L+20,1,4.08,0.55,23.566400000000005,0.2626782615986047,0.2627310362302362,5.277463163150253e-05
D25_L+20,2,4.08,0.7,29.9936,0.2627046206499351,0.2627606726179314,5.605196799629564e-05
D25_L+20,3,3.36,0.55,19.448,0.2626823483409027,0.2627981074075393,0.0001157590666365782
D25_L+20,4,3.12,0.55,18.0752,0.2631362531255385,0.2631368673642857,6.1423874719857e-07
D25_L+20,5,4.08,0.8,34.278400000000005,0.2629395304585782,0.2635065546223687,0.0005670241637905082
D25_L+20,6,4.8,0.7,35.2352,0.2631614613947861,0.263519290689597,0.0003578292948109296
D25_L+20,7,3.36,0.4,14.144,0.2637327939097021,0.2637058915352261,2.690237447600108e-05
D25_L+20,8,3.36,0.7,24.752,0.2633843372273121,0.2637747925127441,0.0003904552854320231
D25_L+20,9,4.8,0.8,40.2688,0.2636191027148581,0.2638096598476157,0.0001905571327575628
D25_L+20,10,3.12,0.4,13.145600000000002,0.2638449132620388,0.2638450182408153,1.0497877650506027e-07
D35_L+20,1,2.16,0.25,5.720000000000001,0.2772000152026305,0.2772365510651878,3.6535862557307563e-05
D35_L+20,2,2.4,0.25,6.344,0.2778803573182865,0.2779173865626255,3.702924433901522e-05
D35_L+20,3,1.68,0.25,4.472,0.2781920351841458,0.2781973836488338,5.3484646879709e-06
D35_L+20,4,2.88,0.1,3.0368,0.2789482533401535,0.2790226320264169,7.437868626342103e-05
D35_L+20,5,2.64,0.25,6.968000000000001,0.2790259604961436,0.2790680824915086,4.2121995365018705e-05
D35_L+20,6,3.12,0.1,3.2864000000000004,0.2801384421477524,0.2801828842394326,4.444209168019686e-05
D35_L+20,7,2.88,0.25,7.592,0.2805631021885965,0.2805984410011937,3.5338812597207614e-05
D35_L+20,8,2.64,0.1,2.7872000000000003,0.2807188658799024,0.2807664115659365,4.754568603410059e-05
D35_L+20,9,2.4,0.1,2.5376000000000003,0.2808977689918934,0.2809034434084999,5.674416606482602e-06
D35_L+20,10,1.68,0.4,7.155200000000001,0.2809781887221481,0.2810313988779784,5.321015583031885e-05
