scenario_id,family_key,mechanical_power_pu,disturbance_time_s,score,stable
E25_M080_T15,D25_L+20,0.8,1.5,0.26993251506576915,True
E25_M080_T25,D25_L+20,0.8,2.5,0.2699325150657664,True
E25_M085_T15,D25_L+20,0.85,1.5,0.26993251506576926,True
E25_M085_T25,D25_L+20,0.85,2.5,0.2699325150657664,True
E25_M090_T15,D25_L+20,0.9,1.5,0.26993251506576926,True
E25_M090_T25,D25_L+20,0.9,2.5,0.2699325150657665,True
E25_M095_T15,D25_L+20,0.95,1.5,0.26993251506576915,True
E25_M095_T25,D25_L+20,0.95,2.5,0.26993251506576627,True
E25_M100_T15,D25_L+20,1.0,1.5,0.26993251506576915,True
E25_M100_T25,D25_L+20,1.0,2.5,0.26993251506576627,True
E35_M080_T15,D35_L+20,0.8,1.5,0.2772365510651878,True
E35_M080_T25,D35_L+20,0.8,2.5,0.2772365510651932,True
E35_M085_T15,D35_L+20,0.85,1.5,0.27723655106518785,True
E35_M085_T25,D35_L+20,0.85,2.5,0.2772365510651933,True
E35_M090_T15,D35_L+20,0.9,1.5,0.2772365510651879,True
E35_M090_T25,D35_L+20,0.9,2.5,0.2772365510651933,True
E35_M095_T15,D35_L+20,0.95,1.5,0.27723655106518774,True
E35_M095_T25,D35_L+20,0.95,2.5,0.2772365510651932,True
E35_M100_T15,D35_L+20,1.0,1.5,0.2772365510651878,True
E35_M100_T25,D35_L+20,1.0,2.5,0.2772365510651932,True
