model,split,mse_scaled,kp_mae,kp_rmse,ki_mae,ki_rmse,regime_accuracy
B0_CONSTANT,train,1.0,0.3330609874704726,0.4027659357813807,2.68956564644112,3.760708796703764,0.5714285714285714
B0_CONSTANT,validation,0.6523587107658386,0.359999989860799,0.4233976060032693,1.3415999841466892,1.6803417097704347,0.5
B0_CONSTANT,test,0.6523587107658386,0.359999989860799,0.4233976060032693,1.3415999841466892,1.6803417097704347,0.5
B1_ENDPOINT_LINEAR,train,0.7660606322383792,0.3114062192653988,0.3730447796243125,2.583221825840196,3.088046274885889,0.5714285714285714
B1_ENDPOINT_LINEAR,validation,0.5668423729263766,0.3105481010711112,0.3623246654514496,2.0860682788727227,2.1420219129193483,0.5
B1_ENDPOINT_LINEAR,test,1.0355680100487212,0.1861618419480801,0.2109683836584104,5.0174721299165785,5.040992319061775,0.5
B2_LSTM,train,0.7386500835418701,0.3225058220690331,0.378134139972705,2.2046139052457563,2.9029974552211684,0.5714285714285714
B2_LSTM,validation,0.5170130729675293,0.3162941218779802,0.3522220489934068,1.9274333894926383,1.951448673944871,0.5
B2_LSTM,test,0.8686286807060242,0.2426275645040031,0.2891014105037116,3.9806584803745255,4.157301447113995,0.5
B3_ENDPOINT_MLP,train,0.37571612000465393,0.2923854746823056,0.3249303602664288,1.0296767968502436,1.1927492266564195,0.7133928571428572
B3_ENDPOINT_MLP,validation,0.5198184251785278,0.35386369329928885,0.3781296434580439,1.3215778651530696,1.4959444136908269,0.5
B3_ENDPOINT_MLP,test,2.5554137229919434,0.3811162009490938,0.38581978107622755,6.330390259780979,7.700923700832329,0.003125
