epoch,train_mse,validation_mse
1,0.8782449834687369,0.5170130610466004
2,0.5103036950315748,0.5239814150333405
3,0.3698727757590158,0.5241754907369613
4,0.35812225256647384,0.5517759591341018
5,0.33144164136477877,0.5832245709002017
6,0.28782826355525426,0.6606855543330312
7,0.27587645513670783,0.7398567485436797
8,0.27189841304506573,0.8248753576166927
9,0.2680257414068494,0.8408274738118052
10,0.26676000339644296,0.8303462129458785
11,0.2644011194365365,0.8098776175919921
12,0.2633788559266499,0.827992024840787
13,0.2621703508922032,0.878918078020215
