category,check,passed
checkpoint,cell187_checkpoint,True
hash,authoritative_hash_contract,True
audit_fix,original_whitespace_false_negative,True
audit_fix,fix1_diagnostic_false_negative,True
gate,bab_i_final,True
gate,bab_ii_final,True
gate,bab_iii_final,True
gate,bab_iv_frozen,True
gate,bab_v_final,True
structure,bab_i_structure,True
structure,bab_iii_structure,True
structure,bab_iv_structure,True
structure,bab_v_structure,True
bab_ii,section_composition_contract,True
bab_ii,cell178_normalized_content,True
bab_ii,cell180_content,True
bab_ii,authoritative_composition,True
bab_ii,integration_map,True
science,scientific_restraint,True
package,package_content,True
cross_chapter,bab_i_to_v_scientific_alignment,True
integration,authoritative_integration_authorized,True
integration,proposal_docx_integration_authorized,True
