table_index,body_index,section,rows,cols_max,first_row_text,research_2026_row_indices
0,143,1.1,1,2,| (1.1),
1,191,2.1,1,2,| (2.1),
2,201,2.1,1,2,| (2.2),
3,205,2.2,1,2,| (2.3),
4,218,2.3,1,2,| (2.4),
5,220,2.3,1,2,| (2.5),
6,226,2.4,1,2,| (2.6),
7,228,2.4,1,2,| (2.7),
8,230,2.4,1,2,| (2.8),
9,236,2.5,5,2,| (2.9),
10,241,2.6,1,2,| (2.14),
11,243,2.6,1,2,| (2.15),
12,245,2.6,1,2,| (2.16),
13,250,2.7,2,2,| (2.17),
14,253,2.7,2,2,| (2.19),
15,261,2.7,1,2,| (2.21),
16,265,2.8,2,2,| (2.22),
17,270,2.9,1,2,| (2.24),
18,272,2.9,2,2,| (2.25),
19,275,2.9,1,2,| (2.27),
20,282,2.10,15,5,Peneliti dan Tahun | Metode/Pendekatan | Objek Studi | Kontribusi dan Keterbatasan | Posisi terhadap Penelitian Ini,14
21,292,2.11,2,2,| (2.28),
22,309,3.2,13,14,No. | Kegiatan Penelitian | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke- | Bulan ke-,
23,329,3.7,1,2,| (3.1),
24,333,3.7,1,2,| (3.2),
25,336,3.7,1,2,| (3.3),
26,339,3.7,1,2,| (3.4),
27,343,3.7,1,2,| (3.5),
28,355,3.10,1,2,| (3.6),
29,365,3.12,1,2,| (3.7),
