equation,expected_section,raw_text_occurrence_count,true_anchor_count,text_reference_count,anchor_body_indices,reference_body_indices,anchor_valid
2.17,2.7,2,1,1,251,252,True
2.18,2.7,2,1,1,251,252,True
2.19,2.7,3,1,2,254,255;259,True
2.20,2.7,3,1,2,254,255;259,True
2.21,2.7,1,1,0,262,,True
2.22,2.8,2,1,1,266,267,True
2.23,2.8,2,1,1,266,267,True
2.24,2.9,2,1,1,271,277,True
2.25,2.9,2,1,1,273,277,True
2.26,2.9,2,1,1,273,277,True
2.27,2.9,2,1,1,276,277,True
2.28,2.11,2,1,1,293,294,True
2.29,2.11,2,1,1,293,294,True
